"Sample ID","Original Depth (m)","AP_comp Depth (cm)","Age (kyr)","Sedimentation Rate (cm/kyr)","Dry Bulk Density (g/cm3)","C. wuellerstorfi d18O (‰ vs. PDB)","C. wuellerstorfi d18O (‰ vs. PDB) + 0.64‰","C. wuellerstorfi d13C (‰ vs. PDB)","IRD Concentration (grains/g)","IRD Apparent MAR (grains/cm2/kyr)"
"MD02-2588-394.5",3.945,394.5,130.21,3.082,0.771,3.74,4.38,0.2,0.48,1.14052968998459
"MD02-2588-395.5",3.955,395.5,130.54,3.04,0.7712,3.84,4.48,0.02,,
"MD02-2588-396.5",3.965,396.5,130.87,2.967,0.7713,3.8,4.44,0.22,0.37,0.846849997106853
"MD02-2588-397.5",3.975,397.5,131.22,2.911,0.7715,3.96,4.6,0.02,,
"MD02-2588-398.5",3.985,398.5,131.56,2.886,0.7716,3.85,4.49,0.05,0.77,1.71465429444449
"MD02-2588-399.5",3.995,399.5,131.91,2.882,0.7717,3.93,4.57,0.1,,
"MD02-2588-400.5",4.005,400.5,132.26,2.853,0.7719,4.14,4.78,-0.09,0.13,0.286285032881589
"MD02-2588-401.5",4.015,401.5,132.61,2.845,0.772,4.34,4.98,-0.07,,
"MD02-2588-402.5",4.025,402.5,132.96,2.857,0.7721,4.37,5.01,-0.1,1.39,3.06650804107148
"MD02-2588-403.5",4.035,403.5,133.31,2.886,0.7723,4.37,5.01,-0.21,,
"MD02-2588-404.5",4.045,404.5,133.65,2.899,0.7724,4.45,5.09,-0.05,0.55,1.23138765471015
"MD02-2588-405.5",4.055,405.5,134,2.886,0.7726,4.47,5.11,-0.15,,
"MD02-2588-406.5",4.065,406.5,134.35,2.874,0.7727,4.39,5.03,-0.2,0.32,0.71051883448279
"MD02-2588-407.5",4.075,407.5,134.7,2.878,0.7728,4.4,5.04,-0.22,,
"MD02-2588-408.5",4.085,408.5,135.04,2.878,0.773,4.52,5.16,-0.22,0.12,0.266922244316528
"MD02-2588-409.5",4.095,409.5,135.39,2.874,0.7731,4.6,5.24,-0.14,,
"MD02-2588-410.5",4.105,410.5,135.74,2.899,0.7732,4.46,5.1,-0.09,0.31,0.694791042536234
"MD02-2588-411.5",4.115,411.5,136.08,2.882,0.7734,4.46,5.1,-0.14,,
"MD02-2588-412.5",4.125,412.5,136.43,2.853,0.7735,4.39,5.03,-0.13,0,0
"MD02-2588-413.5",4.135,413.5,136.78,2.865,0.7736,4.52,5.16,-0.09,,
"MD02-2588-414.5",4.145,414.5,137.13,2.869,0.7738,4.5,5.14,-0.12,0,0
"MD02-2588-415.5",4.155,415.5,137.48,2.878,0.7739,4.54,5.18,-0.18,,
"MD02-2588-416.5",4.165,416.5,137.82,2.899,0.7741,4.4,5.04,-0.17,1.02,2.28850254826088
"MD02-2588-417.5",4.175,417.5,138.17,2.894,0.7742,4.5,5.14,-0.26,,
"MD02-2588-418.5",4.185,418.5,138.52,2.894,0.7743,4.53,5.17,-0.35,2.28,5.10986758350194
"MD02-2588-419.5",4.195,419.5,138.86,2.92,0.7745,4.58,5.22,-0.13,,
"MD02-2588-420.5",4.205,420.5,139.2,2.92,0.7746,4.48,5.12,-0.21,2.77,6.26461495540144
"MD02-2588-421.5",4.215,421.5,139.55,2.903,0.7747,4.56,5.2,-0.17,,
"MD02-2588-422.5",4.225,422.5,139.89,2.911,0.7749,4.5,5.14,-0.14,0,0
"MD02-2588-423.5",4.235,423.5,140.23,2.92,0.775,4.56,5.2,-0.13,,
"MD02-2588-424.5",4.245,424.5,140.57,2.928,0.7751,4.46,5.1,-0.19,26.91,61.0804592479509
"MD02-2588-425.5",4.255,425.5,140.91,2.941,0.7753,4.48,5.12,-0.3,,
"MD02-2588-426.5",4.265,426.5,141.25,2.963,0.7754,4.45,5.09,-0.2,40.28,92.5436798254799
"MD02-2588-427.5",4.275,427.5,141.59,2.959,0.7755,4.41,5.05,-0.11,,
"MD02-2588-428.5",4.285,428.5,141.93,2.937,0.7757,4.23,4.87,-0.14,33.98,77.4085489055755
"MD02-2588-429.5",4.295,429.5,142.27,2.928,0.7758,4.29,4.93,-0.11,,
"MD02-2588-430.5",4.305,430.5,142.61,2.928,0.776,4.41,5.05,-0.42,46.81,106.360899663032
"MD02-2588-431.5",4.315,431.5,142.95,2.924,0.7761,4.35,4.99,-0.17,,
"MD02-2588-432.5",4.325,432.5,143.29,2.937,0.7762,4.29,4.93,-0.27,28.93,65.950273437955
"MD02-2588-433.5",4.335,433.5,143.63,2.954,0.7764,4.29,4.93,-0.17,,
"MD02-2588-434.5",4.345,434.5,143.97,2.937,0.7765,4.28,4.92,-0.26,3.84,8.75690056740037
"MD02-2588-435.5",4.355,435.5,144.32,2.92,0.7766,4.38,5.02,-0.17,,
"MD02-2588-436.5",4.365,436.5,144.66,2.946,0.7768,4.28,4.92,-0.22,1.89,4.32423389226785
"MD02-2588-437.5",4.375,437.5,144.99,2.959,0.7769,4.24,4.88,-0.35,,
"MD02-2588-438.5",4.385,438.5,145.33,2.946,0.777,4.17,4.81,-0.25,0.72,1.64789874344617
"MD02-2588-439.5",4.395,439.5,145.67,2.946,0.7772,4.4,5.04,-0.14,,
"MD02-2588-440.5",4.405,440.5,146.01,2.95,0.7773,4.3,4.94,-0.2,0.14,0.321008557374633
"MD02-2588-441.5",4.415,441.5,146.35,2.981,0.7774,4.35,4.99,-0.19,,
"MD02-2588-442.5",4.425,442.5,146.68,2.976,0.7776,4.31,4.95,-0.29,1.47,3.40186136718737
"MD02-2588-443.5",4.435,443.5,147.02,2.946,0.7777,4.33,4.97,-0.29,,
"MD02-2588-444.5",4.445,444.5,147.36,2.954,0.7778,4.3,4.94,-0.23,0.77,1.7693783197193
"MD02-2588-445.5",4.455,445.5,147.7,2.967,0.778,4.21,4.85,-0.36,,
"MD02-2588-446.5",4.465,446.5,148.03,2.972,0.7781,4.34,4.98,-0.22,1.24,2.86731347488855
"MD02-2588-447.5",4.475,447.5,148.37,2.99,0.7782,4.29,4.93,-0.41,,
"MD02-2588-448.5",4.485,448.5,148.71,2.959,0.7784,4.24,4.88,-0.22,2.05,4.7209069870563
"MD02-2588-449.5",4.495,449.5,149.05,2.937,0.7785,4.19,4.83,-0.21,,
"MD02-2588-450.5",4.505,450.5,149.39,2.95,0.7786,4.3,4.94,-0.4,1.78,4.0884446803835
"MD02-2588-451.5",4.515,451.5,149.72,2.963,0.7788,4.28,4.92,-0.24,,
"MD02-2588-452.5",4.525,452.5,150.06,2.985,0.7789,4.25,4.89,-0.37,3.88,9.02140320149232
"MD02-2588-453.5",4.535,453.5,150.39,2.976,0.779,4.29,4.93,-0.35,,
"MD02-2588-454.5",4.545,454.5,150.73,2.963,0.7792,4.19,4.83,-0.25,1.98,4.57117403599992
"MD02-2588-455.5",4.555,455.5,151.07,2.959,0.7793,4.23,4.87,-0.42,,
"MD02-2588-456.5",4.565,456.5,151.41,2.963,0.7794,4.18,4.82,-0.27,2.22,5.12701424044436
"MD02-2588-457.5",4.575,457.5,151.74,2.967,0.7796,4.25,4.89,-0.45,,
"MD02-2588-458.5",4.585,458.5,152.08,2.954,0.7797,4.2,4.84,-0.24,1.49,3.43211412237803
"MD02-2588-459.5",4.595,459.5,152.42,2.954,0.7798,4.28,4.92,-0.22,,
"MD02-2588-460.5",4.605,460.5,152.76,2.941,0.78,4.21,4.85,-0.33,1.06,2.43169827661762
"MD02-2588-461.5",4.615,461.5,153.1,2.928,0.7801,,,,,
"MD02-2588-462.5",4.625,462.5,153.44,2.959,0.7802,4.18,4.82,-0.38,1.77,4.08590000924564
"MD02-2588-463.5",4.635,463.5,153.78,2.972,0.7804,4.28,4.92,-0.24,,
"MD02-2588-464.5",4.645,464.5,154.12,2.954,0.7805,4.22,4.86,-0.32,2.13,4.91134388485952
"MD02-2588-465.5",4.655,465.5,154.46,2.95,0.7806,4.15,4.79,-0.24,,
"MD02-2588-466.5",4.665,466.5,154.79,2.946,0.7808,4.32,4.96,-0.5,19.01,43.7189590451416
"MD02-2588-467.5",4.675,467.5,155.14,2.937,0.7809,4.26,4.9,-0.49,,
"MD02-2588-468.5",4.685,468.5,155.48,2.937,0.781,4.27,4.91,-0.45,19.86,45.5551498603497
"MD02-2588-469.5",4.695,469.5,155.81,2.954,0.7812,4.36,5,-0.5,,
"MD02-2588-470.5",4.705,470.5,156.15,2.963,0.7813,4.32,4.96,-0.52,4.41,10.2091093953332
"MD02-2588-471.5",4.715,471.5,156.49,2.963,0.7814,4.32,4.96,-0.39,,
"MD02-2588-472.5",4.725,472.5,156.83,2.976,0.7816,4.32,4.96,-0.45,14.59,33.9380253404034
"MD02-2588-473.5",4.735,473.5,157.16,2.976,0.7817,4.42,5.06,-0.27,,
"MD02-2588-474.5",4.745,474.5,157.5,2.985,0.7818,4.37,5.01,-0.34,10.71,24.9955412527606
"MD02-2588-475.5",4.755,475.5,157.83,2.999,0.782,4.41,5.05,-0.36,,
"MD02-2588-476.5",4.765,476.5,158.17,2.981,0.7821,4.3,4.94,-0.29,14.93,34.8042522868111
"MD02-2588-477.5",4.775,477.5,158.5,2.963,0.7822,4.43,5.07,-0.34,,
"MD02-2588-478.5",4.785,478.5,158.84,2.972,0.7824,4.32,4.96,-0.37,9.76,22.6922068742941
"MD02-2588-479.5",4.795,479.5,159.17,3.021,0.7825,4.41,5.05,-0.45,,
"MD02-2588-480.5",4.805,480.5,159.5,3.026,0.7826,4.27,4.91,-0.38,5,11.8401526853252
"MD02-2588-481.5",4.815,481.5,159.83,3.003,0.7828,4.41,5.05,-0.25,,
"MD02-2588-482.5",4.825,482.5,160.17,2.99,0.7829,4.28,4.92,-0.38,2.36,5.52358749626275
"MD02-2588-483.5",4.835,483.5,160.51,2.967,0.783,4.31,4.95,-0.31,,
"MD02-2588-484.5",4.845,484.5,160.84,2.999,0.7832,4.09,4.73,-0.03,3.55,8.3365101600446
"MD02-2588-485.5",4.855,485.5,161.17,2.994,0.7833,4.25,4.89,-0.27,,
"MD02-2588-486.5",4.865,486.5,161.51,2.999,0.7834,4.28,4.92,-0.2,1.98,4.65122502053992
"MD02-2588-487.5",4.875,487.5,161.84,3.017,0.7836,4.21,4.85,-0.18,,
"MD02-2588-488.5",4.885,488.5,162.17,3.026,0.7837,4.22,4.86,-0.22,1.49,3.53312376225415
"MD02-2588-489.5",4.895,489.5,162.5,3.035,0.7838,4.02,4.66,-0.06,,
"MD02-2588-490.5",4.905,490.5,162.83,3.026,0.784,4.21,4.85,-0.15,0.8,1.89761644175491
"MD02-2588-491.5",4.915,491.5,163.16,3.012,0.7841,3.96,4.6,0.13,,
"MD02-2588-492.5",4.925,492.5,163.49,3.012,0.7842,4.12,4.76,-0.19,2.26,5.33833655496998
"MD02-2588-493.5",4.935,493.5,163.82,3.012,0.7843,4.19,4.83,-0.33,,
"MD02-2588-494.5",4.945,494.5,164.16,3.012,0.7845,4.13,4.77,-0.14,0.59,1.39410352281629
"MD02-2588-495.5",4.955,495.5,164.49,3.026,0.7846,4.19,4.83,-0.14,,
"MD02-2588-496.5",4.965,496.5,164.82,3.012,0.7847,4.1,4.74,-0.24,1.04,2.4582252343374
"MD02-2588-497.5",4.975,497.5,165.15,2.999,0.7849,4.04,4.68,-0.33,,
"MD02-2588-498.5",4.985,498.5,165.48,3.021,0.785,4.14,4.78,-0.31,0.43,1.01979297877638
"MD02-2588-499.5",4.995,499.5,165.81,3.044,0.7851,4.21,4.85,-0.09,,
"MD02-2588-500.5",5.005,500.5,166.14,3.04,0.7853,3.92,4.56,-0.27,0.66,1.5753046354103
"MD02-2588-501.5",5.015,501.5,166.47,3.026,0.7854,4.13,4.77,-0.27,,
"MD02-2588-502.5",5.025,502.5,166.8,3.021,0.7855,4.07,4.71,-0.27,1.74,4.1293580777947
"MD02-2588-503.5",5.035,503.5,167.13,3.035,0.7857,4.09,4.73,-0.29,,
"MD02-2588-504.5",5.045,504.5,167.46,3.026,0.7858,4.07,4.71,-0.4,2.41,5.72995833865354
"MD02-2588-505.5",5.055,505.5,167.79,3.012,0.7859,4.12,4.76,-0.31,,
"MD02-2588-506.5",5.065,506.5,168.12,3.03,0.7861,4.08,4.72,-0.18,1.6,3.81115264242443
"MD02-2588-507.5",5.075,507.5,168.46,3.017,0.7862,4.1,4.74,-0.28,,
"MD02-2588-508.5",5.085,508.5,168.79,3.008,0.7863,3.88,4.52,-0.26,0.81,1.91552535135332
"MD02-2588-509.5",5.095,509.5,169.12,3.035,0.7864,4.01,4.65,-0.04,,
"MD02-2588-510.5",5.105,510.5,169.45,3.021,0.7866,4,4.64,-0.24,1.26,2.99420230377654
"MD02-2588-511.5",5.115,511.5,169.78,3.012,0.7867,4.19,4.83,-0.1,,
"MD02-2588-512.5",5.125,512.5,170.12,2.99,0.7868,4.12,4.76,-0.28,1.68,3.95180605381143
"MD02-2588-513.5",5.135,513.5,170.45,3.003,0.787,4.11,4.75,-0.16,,
"MD02-2588-514.5",5.145,514.5,170.78,3.026,0.7871,4.15,4.79,-0.1,4.42,10.5263295335855
"MD02-2588-515.5",5.155,515.5,171.11,2.99,0.7872,4.09,4.73,-0.1,,
"MD02-2588-516.5",5.165,516.5,171.45,2.981,0.7874,4.19,4.83,-0.17,4.16,9.7627119618481
"MD02-2588-517.5",5.175,517.5,171.78,2.999,0.7875,4.09,4.73,-0.18,,
"MD02-2588-518.5",5.185,518.5,172.11,3.012,0.7876,4.14,4.78,-0.12,2.68,6.35784175632542
"MD02-2588-519.5",5.195,519.5,172.45,3.008,0.7877,3.94,4.58,0.03,,
"MD02-2588-520.5",5.205,520.5,172.78,2.999,0.7879,4.06,4.7,-0.1,2.75,6.4967030116189
"MD02-2588-521.5",5.215,521.5,173.11,2.999,0.788,3.92,4.56,-0.09,,
"MD02-2588-522.5",5.225,522.5,173.45,3.012,0.7881,3.99,4.63,0.03,1.84,4.36796221385513
"MD02-2588-523.5",5.235,523.5,173.78,3.021,0.7883,3.93,4.57,-0.1,,
"MD02-2588-524.5",5.245,524.5,174.11,3.012,0.7884,3.88,4.52,-0.09,1.6,3.79947707228923
"MD02-2588-525.5",5.255,525.5,174.44,2.99,0.7885,3.88,4.52,-0.03,,
"MD02-2588-526.5",5.265,526.5,174.78,3.012,0.7887,3.91,4.55,-0.07,0.83,1.97162608125004
"MD02-2588-527.5",5.275,527.5,175.1,3.035,0.7888,3.92,4.56,-0.15,,
"MD02-2588-528.5",5.285,528.5,175.44,3.008,0.7889,3.9,4.54,-0.22,0.32,0.759250894436067
"MD02-2588-529.5",5.295,529.5,175.77,2.994,0.789,3.91,4.55,-0.08,,
"MD02-2588-530.5",5.305,530.5,176.1,2.999,0.7892,3.89,4.53,-0.15,0.33,0.780885473838046
"MD02-2588-531.5",5.315,531.5,176.44,2.999,0.7893,,,,,
"MD02-2588-532.5",5.325,532.5,176.77,3.021,0.7894,3.84,4.48,-0.04,0.7,1.66948057024161
"MD02-2588-533.5",5.335,533.5,177.1,3.035,0.7896,3.95,4.59,0.01,,
"MD02-2588-534.5",5.345,534.5,177.43,3.017,0.7897,3.9,4.54,-0.2,1.35,3.21590684728502
"MD02-2588-535.5",5.355,535.5,177.76,3.012,0.7898,4.02,4.66,0.01,,
"MD02-2588-536.5",5.365,536.5,178.1,2.994,0.7899,3.92,4.56,-0.28,1.89,4.47002843241014
"MD02-2588-537.5",5.375,537.5,178.43,2.967,0.7901,4.02,4.66,-0.12,,
"MD02-2588-538.5",5.385,538.5,178.77,2.99,0.7902,3.95,4.59,-0.21,1.98,4.67741131345264
"MD02-2588-539.5",5.395,539.5,179.1,2.994,0.7903,4.03,4.67,-0.22,,
"MD02-2588-540.5",5.405,540.5,179.44,2.99,0.7905,3.95,4.59,-0.26,1.97,4.65530312772768
"MD02-2588-541.5",5.415,541.5,179.77,3.003,0.7906,4.04,4.68,-0.23,,
"MD02-2588-542.5",5.425,542.5,180.1,2.999,0.7907,3.97,4.61,-0.1,1.26,2.98740261994015
"MD02-2588-543.5",5.435,543.5,180.44,2.976,0.7908,4.09,4.73,-0.13,,
"MD02-2588-544.5",5.445,544.5,180.78,2.967,0.791,4.09,4.73,-0.18,1.15,2.69915610200305
"MD02-2588-545.5",5.455,545.5,181.11,2.963,0.7911,3.98,4.62,-0.04,,
"MD02-2588-546.5",5.465,546.5,181.45,2.963,0.7912,4.04,4.68,-0.18,2.58,6.04848803511101
"MD02-2588-547.5",5.475,547.5,181.79,2.985,0.7914,4.03,4.67,-0.23,,
"MD02-2588-548.5",5.485,548.5,182.12,2.972,0.7915,3.96,4.6,-0.08,1.16,2.72844042109955
"MD02-2588-549.5",5.495,549.5,182.46,2.954,0.7916,3.99,4.63,-0.17,,
"MD02-2588-550.5",5.505,550.5,182.8,2.95,0.7917,3.99,4.63,-0.23,1.34,3.12958775796461
"MD02-2588-551.5",5.515,551.5,183.14,2.954,0.7919,3.99,4.63,-0.1,,
"MD02-2588-552.5",5.525,552.5,183.48,2.946,0.792,3.97,4.61,-0.16,,
"MD02-2588-553.5",5.535,553.5,183.82,2.933,0.7921,3.95,4.59,0.06,,
"MD02-2588-554.5",5.545,554.5,184.16,2.95,0.7923,3.96,4.6,-0.13,,
"MD02-2588-555.5",5.555,555.5,184.5,2.941,0.7924,3.99,4.63,-0.22,2.22,5.17376283926465
"MD02-2588-556.5",5.565,556.5,184.84,2.924,0.7925,3.96,4.6,-0.2,,
"MD02-2588-557.5",5.575,557.5,185.18,2.941,0.7926,3.86,4.5,-0.29,,
"MD02-2588-558.5",5.585,558.5,185.52,2.92,0.7928,4.05,4.69,-0.13,5.63,13.0313678451824
"MD02-2588-559.5",5.595,559.5,185.87,2.907,0.7929,4.06,4.7,-0.23,,
"MD02-2588-560.5",5.605,560.5,186.21,2.924,0.793,3.99,4.63,-0.18,,
"MD02-2588-561.5",5.615,561.5,186.55,2.911,0.7931,4.02,4.66,-0.15,14.06,32.4646027276559
"MD02-2588-562.5",5.625,562.5,186.9,2.903,0.7933,4.1,4.74,-0.16,5,11.5133572206102
"MD02-2588-563.5",5.635,563.5,187.24,2.899,0.7934,3.99,4.63,-0.22,,
"MD02-2588-564.5",5.645,564.5,187.59,2.886,0.7935,4.04,4.68,-0.15,13.44,30.7791395878795
"MD02-2588-565.5",5.655,565.5,187.93,2.882,0.7937,3.91,4.55,-0.16,8.16,18.6633966190197
"MD02-2588-566.5",5.665,566.5,188.28,2.903,0.7938,4.04,4.68,-0.17,,
"MD02-2588-567.5",5.675,567.5,188.62,2.894,0.7939,3.91,4.55,-0.37,11.78,27.0686265448613
"MD02-2588-568.5",5.685,568.5,188.97,2.874,0.794,3.99,4.63,-0.32,,
"MD02-2588-569.5",5.695,569.5,189.32,2.869,0.7942,3.89,4.53,-0.06,5.91,13.4676705643472
"MD02-2588-570.5",5.705,570.5,189.67,2.837,0.7943,3.98,4.62,-0.16,,
"MD02-2588-571.5",5.715,571.5,190.03,2.833,0.7944,3.86,4.5,-0.11,6.1,13.7278190035407
"MD02-2588-572.5",5.725,572.5,190.38,2.853,0.7945,3.94,4.58,-0.03,,
"MD02-2588-573.5",5.735,573.5,190.73,2.829,0.7947,4.03,4.67,-0.11,7.06,15.8708486943424
"MD02-2588-574.5",5.745,574.5,191.09,2.805,0.7948,3.95,4.59,-0.21,,
"MD02-2588-575.5",5.755,575.5,191.44,2.809,0.7949,3.8,4.44,0.03,6.43,14.3576751032996
"MD02-2588-576.5",5.765,576.5,191.8,2.797,0.795,3.73,4.37,0.09,,
"MD02-2588-577.5",5.775,577.5,192.16,2.817,0.7952,3.67,4.31,0.09,4.45,9.96765293133832
"MD02-2588-578.5",5.785,578.5,192.51,2.825,0.7953,3.67,4.31,0.12,,
"MD02-2588-579.5",5.795,579.5,192.87,2.805,0.7954,3.61,4.25,0.44,8.07,18.0058313673907
"MD02-2588-580.5",5.805,580.5,193.23,2.762,0.7956,3.34,3.98,0.18,,
"MD02-2588-581.5",5.815,581.5,193.6,2.656,0.7957,3.58,4.22,0.42,7.34,15.5120076667998
"MD02-2588-582.5",5.825,582.5,193.99,2.571,0.7958,3.48,4.12,0.28,,
"MD02-2588-583.5",5.835,583.5,194.4,2.475,0.7959,3.46,4.1,-0.1,5.24,10.3234398571783
"MD02-2588-584.5",5.845,584.5,194.82,2.384,0.7961,3.45,4.09,0.21,,
"MD02-2588-585.5",5.855,585.5,195.25,2.307,0.7962,3.38,4.02,0.03,6.23,11.4422349002889
"MD02-2588-586.5",5.865,586.5,195.7,2.232,0.7963,3.55,4.19,0.25,,
"MD02-2588-587.5",5.875,587.5,196.15,2.205,0.7964,3.29,3.93,0.23,7.83,13.7509788795482
"MD02-2588-588.5",5.885,588.5,196.61,2.183,0.7966,3.22,3.86,-0.33,,
"MD02-2588-589.5",5.895,589.5,197.07,2.162,0.7967,3.47,4.11,0.26,4.74,8.16493637286527
"MD02-2588-590.5",5.905,590.5,197.54,2.153,0.7968,3.41,4.05,0.2,,
"MD02-2588-591.5",5.915,591.5,198,2.153,0.7969,3.41,4.05,0.27,11.8,20.2450741087196
"MD02-2588-592.5",5.925,592.5,198.46,2.172,0.7971,3.32,3.96,0.24,,
"MD02-2588-593.5",5.935,593.5,198.92,2.179,0.7972,3.35,3.99,0.24,4.78,8.30185226873633
"MD02-2588-594.5",5.945,594.5,199.39,2.153,0.7973,3.23,3.87,0.3,,
"MD02-2588-595.5",5.955,595.5,199.85,2.157,0.7974,3.4,4.04,0.27,6.02,10.357217028803
"MD02-2588-596.5",5.965,596.5,200.3,2.198,0.7976,3.3,3.94,0.21,,
"MD02-2588-597.5",5.975,597.5,200.76,2.195,0.7977,3.16,3.8,0.33,1.73,3.02963567645444
"MD02-2588-598.5",5.985,598.5,201.22,2.186,0.7978,3.25,3.89,0.38,,
"MD02-2588-599.5",5.995,599.5,201.67,2.21,0.7979,3.13,3.77,0.45,,
"MD02-2588-600.5",6.005,600.5,202.12,2.208,0.7981,3.17,3.81,0.28,,
"MD02-2588-601.5",6.015,601.5,202.57,2.212,0.7982,3.01,3.65,0.27,0.37,0.653383517754427
"MD02-2588-602.5",6.025,602.5,203.02,2.235,0.7983,3.17,3.81,0.4,,
"MD02-2588-603.5",6.035,603.5,203.47,2.255,0.7984,2.96,3.6,0.42,,
"MD02-2588-604.5",6.045,604.5,203.91,2.275,0.7986,3.19,3.83,0.48,,
"MD02-2588-605.5",6.055,605.5,204.34,2.275,0.7987,3.34,3.98,0.25,2.11,3.83442254874849
"MD02-2588-606.5",6.065,606.5,204.78,2.301,0.7988,3.21,3.85,0.46,,
"MD02-2588-607.5",6.075,607.5,205.21,2.334,0.7989,3.1,3.74,0.28,,
"MD02-2588-608.5",6.085,608.5,205.63,2.356,0.7991,3.34,3.98,0.43,,
"MD02-2588-609.5",6.095,609.5,206.06,2.361,0.7992,3.32,3.96,0.46,1.76,3.32128744935073
"MD02-2588-610.5",6.105,610.5,206.48,2.375,0.7993,3.27,3.91,0.31,,
"MD02-2588-611.5",6.115,611.5,206.9,2.387,0.7994,2.92,3.56,0.12,,
"MD02-2588-612.5",6.125,612.5,207.31,2.392,0.7996,3.33,3.97,0.46,,
"MD02-2588-613.5",6.135,613.5,207.73,2.398,0.7997,3.26,3.9,0.31,2.51,4.8134338167266
"MD02-2588-614.5",6.145,614.5,208.15,2.375,0.7998,3.2,3.84,0.48,,
"MD02-2588-615.5",6.155,615.5,208.58,2.361,0.7999,3.2,3.84,0.39,,
"MD02-2588-616.5",6.165,616.5,209,2.334,0.8001,3.1,3.74,0.47,,
"MD02-2588-617.5",6.175,617.5,209.43,2.32,0.8002,3.04,3.68,0.28,2.24,4.15869935034792
"MD02-2588-618.5",6.185,618.5,209.87,2.32,0.8003,3.17,3.81,0.31,,
"MD02-2588-619.5",6.195,619.5,210.3,2.304,0.8004,3.09,3.73,0.54,,
"MD02-2588-620.5",6.205,620.5,210.74,2.288,0.8005,2.99,3.63,0.46,,
"MD02-2588-621.5",6.215,621.5,211.18,2.27,0.8007,3.03,3.67,0.41,2.08,3.78070636912611
"MD02-2588-622.5",6.225,622.5,211.63,2.232,0.8008,3.21,3.85,0.48,,
"MD02-2588-623.5",6.235,623.5,212.08,2.217,0.8009,3.12,3.76,0.32,,
"MD02-2588-624.5",6.245,624.5,212.53,2.222,0.801,3.16,3.8,0.53,2.07,3.68480466549986
"MD02-2588-625.5",6.255,625.5,212.98,2.217,0.8012,3.2,3.84,0.47,,
"MD02-2588-626.5",6.265,626.5,213.43,2.215,0.8013,3.09,3.73,0.14,,
"MD02-2588-627.5",6.275,627.5,213.89,2.183,0.8014,3.06,3.7,0.31,,
"MD02-2588-628.5",6.285,628.5,214.35,2.174,0.8015,2.94,3.58,0.37,3.54,6.1683586718481
"MD02-2588-629.5",6.295,629.5,214.8,2.2,0.8017,3.15,3.79,0.23,,
"MD02-2588-630.5",6.305,630.5,215.26,2.191,0.8018,2.98,3.62,0.26,,
"MD02-2588-631.5",6.315,631.5,215.72,2.169,0.8019,3.16,3.8,0.24,,
"MD02-2588-632.5",6.325,632.5,216.18,2.183,0.802,3.14,3.78,0.04,5.75,10.0691641307315
"MD02-2588-633.5",6.335,633.5,216.64,2.167,0.8022,3.04,3.68,0.17,,
"MD02-2588-634.5",6.345,634.5,217.11,2.139,0.8023,3.55,4.19,-0.18,5.96,10.2279565418182
"MD02-2588-635.5",6.355,635.5,217.57,2.16,0.8024,3.25,3.89,0.05,5.65,9.79170251106925
"MD02-2588-636.5",6.365,636.5,218.03,2.186,0.8025,3.3,3.94,0.1,7.48,13.1210241379232
"MD02-2588-637.5",6.375,637.5,218.48,2.195,0.8026,3.55,4.19,-0.24,,
"MD02-2588-638.5",6.385,638.5,218.93,2.21,0.8028,3.56,4.2,0.09,13.79,24.4644666700007
"MD02-2588-639.5",6.395,639.5,219.38,2.237,0.8029,3.65,4.29,-0.29,,
"MD02-2588-640.5",6.405,640.5,219.82,2.283,0.803,3.63,4.27,-0.19,4.94,9.05681658664408
"MD02-2588-641.5",6.415,641.5,220.25,2.336,0.8031,3.8,4.44,-0.28,,
"MD02-2588-642.5",6.425,642.5,220.67,2.392,0.8033,3.87,4.51,-0.33,29.94,57.5348178857686
"MD02-2588-643.5",6.435,643.5,221.08,2.433,0.8034,3.85,4.49,-0.26,,
"MD02-2588-644.5",6.445,644.5,221.48,2.466,0.8035,3.82,4.46,-0.41,29.32,58.0979301408113
"MD02-2588-645.5",6.455,645.5,221.89,2.472,0.8036,3.89,4.53,-0.43,,
"MD02-2588-646.5",6.465,646.5,222.29,2.463,0.8037,3.7,4.34,0.03,25.13,49.7492069081889
"MD02-2588-647.5",6.475,647.5,222.69,2.5,0.8039,3.81,4.45,-0.21,,
"MD02-2588-648.5",6.485,648.5,223.09,2.503,0.804,4.14,4.78,-0.56,23.77,47.8370168598887
"MD02-2588-649.5",6.495,649.5,223.49,2.509,0.8041,4.01,4.65,-0.2,,
"MD02-2588-650.5",6.505,650.5,223.89,2.528,0.8042,4.03,4.67,-0.13,9.28,18.8705689264223
"MD02-2588-651.5",6.515,651.5,224.28,2.525,0.8044,4.03,4.67,-0.32,,
"MD02-2588-652.5",6.525,652.5,224.68,2.532,0.8045,3.97,4.61,-0.18,16.64,33.8899850126574
"MD02-2588-653.5",6.535,653.5,225.07,2.528,0.8046,3.81,4.45,0.11,,
"MD02-2588-654.5",6.545,654.5,225.47,2.545,0.8047,3.71,4.35,0.23,9.26,18.9611669581425
"MD02-2588-655.5",6.555,655.5,225.85,2.574,0.8048,3.71,4.35,0.08,,
"MD02-2588-656.5",6.565,656.5,226.24,2.597,0.805,3.82,4.46,0.11,12.57,26.2816411104552
"MD02-2588-657.5",6.575,657.5,226.62,2.621,0.8051,3.76,4.4,0.15,,
"MD02-2588-658.5",6.585,658.5,227.01,2.597,0.8052,3.71,4.35,0.19,23.37,48.8772825598064
